2026-01-22 01:08:14,841 - [INFO] - [DATA] Loaded 17 items.
2026-01-22 01:08:14,842 - [INFO] - [DATA] Loaded 110 tiles.
2026-01-22 01:08:14,842 - [INFO] - [DATA] Loaded 5 roles.
2026-01-22 01:08:15,017 - [INFO] - [SYSTEM] Game Engine Initializing...
2026-01-22 01:08:15,017 - [INFO] - [SYSTEM] Game Engine Initializing...
2026-01-22 01:08:15,045 - [INFO] - [SYSTEM] Engine Loop Started
2026-01-22 01:08:15,045 - [INFO] - [SYSTEM] Engine Loop Started
2026-01-22 01:08:32,570 - [INFO] - [PLAY] Entering PlayState...
2026-01-22 01:08:32,570 - [INFO] - [PLAY] Entering PlayState...
2026-01-22 01:08:32,589 - [INFO] - [PLAYER] Initialized at (1440, 1664) Role: CITIZEN
2026-01-22 01:08:32,589 - [INFO] - [PLAYER] Initialized at (1440, 1664) Role: CITIZEN
2026-01-22 01:08:32,594 - [INFO] - [PLAYER] Role changed to CITIZEN (FISHER)
2026-01-22 01:08:32,594 - [INFO] - [PLAYER] Role changed to CITIZEN (FISHER)
2026-01-22 01:08:32,603 - [DEBUG] - [AI_MOVE_Bot 10] Set Destination: (83, 23) | Reason: Random Move | CurrPos: (50, 49)
2026-01-22 01:08:32,603 - [DEBUG] - [AI_MOVE_Bot 10] Set Destination: (83, 23) | Reason: Random Move | CurrPos: (50, 49)
2026-01-22 01:08:32,704 - [DEBUG] - [AI_MOVE_Bot 12] Set Destination: (72, 28) | Reason: Go Home | CurrPos: (49, 48)
2026-01-22 01:08:32,704 - [DEBUG] - [AI_MOVE_Bot 12] Set Destination: (72, 28) | Reason: Go Home | CurrPos: (49, 48)
2026-01-22 01:08:32,721 - [DEBUG] - [AI_MOVE_Bot 9] Set Destination: (61, 69) | Reason: Go Home | CurrPos: (51, 54)
2026-01-22 01:08:32,721 - [DEBUG] - [AI_MOVE_Bot 9] Set Destination: (61, 69) | Reason: Go Home | CurrPos: (51, 54)
2026-01-22 01:08:32,737 - [DEBUG] - [AI_MOVE_Bot 1] Set Destination: (71, 69) | Reason: Go Home | CurrPos: (53, 47)
2026-01-22 01:08:32,737 - [DEBUG] - [AI_MOVE_Bot 1] Set Destination: (71, 69) | Reason: Go Home | CurrPos: (53, 47)
2026-01-22 01:08:32,751 - [DEBUG] - [AI_MOVE_Bot 3] Set Destination: (58, 11) | Reason: Random Move | CurrPos: (53, 50)
2026-01-22 01:08:32,751 - [DEBUG] - [AI_MOVE_Bot 3] Set Destination: (58, 11) | Reason: Random Move | CurrPos: (53, 50)
2026-01-22 01:08:32,786 - [DEBUG] - [AI_MOVE_Bot 2] Set Destination: (86, 33) | Reason: Random Move | CurrPos: (50, 48)
2026-01-22 01:08:32,786 - [DEBUG] - [AI_MOVE_Bot 2] Set Destination: (86, 33) | Reason: Random Move | CurrPos: (50, 48)
2026-01-22 01:08:32,855 - [DEBUG] - [AI_MOVE_Bot 13] Set Destination: (43, 24) | Reason: Go Home | CurrPos: (48, 50)
