2026-01-22 01:16:13,051 - [INFO] - [SYSTEM] Game Engine Initializing...
2026-01-22 01:16:13,087 - [INFO] - [SYSTEM] Engine Loop Started
2026-01-22 01:16:13,201 - [INFO] - [DATA] Loaded 17 items.
2026-01-22 01:16:13,202 - [INFO] - [DATA] Loaded 110 tiles.
2026-01-22 01:16:13,202 - [INFO] - [DATA] Loaded 5 roles.
2026-01-22 01:16:23,770 - [INFO] - [PLAY] Entering PlayState...
2026-01-22 01:16:23,789 - [INFO] - [PLAYER] Initialized at (1440, 1664) Role: CITIZEN
2026-01-22 01:16:23,792 - [INFO] - [PLAYER] Role changed to CITIZEN (FISHER)
2026-01-22 01:16:23,852 - [DEBUG] - [AI_MOVE_Bot 12] Set Destination: (55, 22) | Reason: Random Move | CurrPos: (50, 47)
2026-01-22 01:16:23,862 - [DEBUG] - [AI_MOVE_Bot 14] Set Destination: (56, 96) | Reason: Go Home | CurrPos: (49, 49)
2026-01-22 01:16:23,886 - [DEBUG] - [AI_MOVE_Bot 1] Set Destination: (17, 90) | Reason: Go Home | CurrPos: (47, 51)
2026-01-22 01:16:23,955 - [DEBUG] - [AI_MOVE_Bot 7] Set Destination: (78, 86) | Reason: Random Move | CurrPos: (49, 53)
2026-01-22 01:16:23,957 - [DEBUG] - [AI_MOVE_Bot 13] Set Destination: (9, 70) | Reason: Random Move | CurrPos: (50, 51)
2026-01-22 01:16:24,021 - [DEBUG] - [AI_MOVE_Bot 9] Set Destination: (3, 67) | Reason: Go Home | CurrPos: (51, 52)
2026-01-22 01:16:24,038 - [DEBUG] - [AI_MOVE_Bot 5] Set Destination: (86, 30) | Reason: Go Home | CurrPos: (49, 48)
2026-01-22 01:16:24,053 - [DEBUG] - [AI_MOVE_Bot 2] Set Destination: (18, 79) | Reason: Random Move | CurrPos: (45, 53)
2026-01-22 01:16:24,069 - [DEBUG] - [AI_MOVE_Bot 11] Set Destination: (40, 81) | Reason: Go Home | CurrPos: (45, 50)
2026-01-22 01:16:24,152 - [DEBUG] - [AI_MOVE_Bot 3] Set Destination: (97, 9) | Reason: Random Move | CurrPos: (52, 48)
2026-01-22 01:16:24,201 - [DEBUG] - [AI_MOVE_Bot 6] Set Destination: (55, 25) | Reason: Random Move | CurrPos: (52, 49)
2026-01-22 01:16:24,368 - [DEBUG] - [AI_MOVE_Bot 8] Set Destination: (36, 33) | Reason: Go Home | CurrPos: (46, 46)
2026-01-22 01:16:24,456 - [DEBUG] - [AI_MOVE_Bot 8] Set Destination: (36, 33) | Reason: Go Home | CurrPos: (46, 46)
2026-01-22 01:16:25,011 - [DEBUG] - [AI_MOVE_Bot 8] Set Destination: (36, 33) | Reason: Go Home | CurrPos: (46, 46)
2026-01-22 01:16:25,192 - [DEBUG] - [AI_MOVE_Bot 8] Set Destination: (36, 33) | Reason: Go Home | CurrPos: (46, 46)
2026-01-22 01:16:25,296 - [DEBUG] - [AI_MOVE_Bot 8] Set Destination: (36, 33) | Reason: Go Home | CurrPos: (46, 46)
2026-01-22 01:16:25,536 - [DEBUG] - [AI_MOVE_Bot 8] Set Destination: (36, 33) | Reason: Go Home | CurrPos: (46, 46)
2026-01-22 01:16:25,611 - [DEBUG] - [AI_MOVE_Bot 8] Set Destination: (36, 33) | Reason: Go Home | CurrPos: (46, 46)
2026-01-22 01:16:25,882 - [DEBUG] - [AI_MOVE_Bot 8] Set Destination: (36, 33) | Reason: Go Home | CurrPos: (46, 46)
2026-01-22 01:16:25,987 - [DEBUG] - [AI_MOVE_Bot 8] Set Destination: (36, 33) | Reason: Go Home | CurrPos: (46, 46)
2026-01-22 01:16:26,106 - [DEBUG] - [AI_MOVE_Bot 8] Set Destination: (36, 33) | Reason: Go Home | CurrPos: (46, 46)
2026-01-22 01:16:26,212 - [DEBUG] - [AI_MOVE_Bot 8] Set Destination: (36, 33) | Reason: Go Home | CurrPos: (46, 46)
2026-01-22 01:16:26,527 - [DEBUG] - [AI_MOVE_Bot 8] Set Destination: (36, 33) | Reason: Go Home | CurrPos: (46, 46)
2026-01-22 01:16:26,766 - [DEBUG] - [AI_MOVE_Bot 8] Set Destination: (36, 33) | Reason: Go Home | CurrPos: (46, 46)
2026-01-22 01:16:26,871 - [DEBUG] - [AI_MOVE_Bot 8] Set Destination: (36, 33) | Reason: Go Home | CurrPos: (46, 46)
2026-01-22 01:16:27,787 - [DEBUG] - [AI_MOVE_Bot 8] Set Destination: (36, 33) | Reason: Go Home | CurrPos: (46, 46)
2026-01-22 01:16:27,861 - [DEBUG] - [AI_MOVE_Bot 8] Set Destination: (36, 33) | Reason: Go Home | CurrPos: (46, 46)
2026-01-22 01:16:27,996 - [DEBUG] - [AI_MOVE_Bot 8] Set Destination: (36, 33) | Reason: Go Home | CurrPos: (46, 46)
