2026-01-22 19:42:25,592 - [INFO] - [SYSTEM] Game Engine Initializing...
2026-01-22 19:42:25,618 - [INFO] - [SYSTEM] Engine Loop Started
2026-01-22 19:42:38,801 - [INFO] - [PLAY] Entering PlayState...
2026-01-22 19:42:38,843 - [INFO] - [PLAYER] Initialized at (1632, 1504) Role: CITIZEN
2026-01-22 19:42:38,849 - [INFO] - [PLAYER] Role changed to CITIZEN (FARMER)
2026-01-22 19:42:38,941 - [DEBUG] - [AI_MOVE_Bot 2] Set Destination: (25, 25) | Reason: Go Home | CurrPos: (47, 51)
2026-01-22 19:42:38,957 - [DEBUG] - [AI_MOVE_Bot 5] Set Destination: (56, 87) | Reason: Random Move | CurrPos: (46, 48)
2026-01-22 19:42:39,046 - [DEBUG] - [AI_MOVE_Bot 3] Set Destination: (27, 56) | Reason: Go Home | CurrPos: (51, 50)
2026-01-22 19:42:39,104 - [DEBUG] - [AI_MOVE_Bot 12] Set Destination: (29, 65) | Reason: Go Home | CurrPos: (46, 53)
2026-01-22 19:42:39,108 - [DEBUG] - [AI_MOVE_Bot 13] Set Destination: (71, 74) | Reason: Go Home | CurrPos: (54, 51)
2026-01-22 19:42:39,137 - [DEBUG] - [AI_MOVE_Bot 12] Set Destination: (28, 65) | Reason: Go Home | CurrPos: (46, 53)
2026-01-22 19:42:39,152 - [DEBUG] - [AI_MOVE_Bot 3] Set Destination: (28, 56) | Reason: Go Home | CurrPos: (50, 50)
2026-01-22 19:42:39,157 - [DEBUG] - [AI_MOVE_Bot 8] Set Destination: (67, 21) | Reason: Go Home | CurrPos: (50, 46)
2026-01-22 19:42:39,180 - [DEBUG] - [AI_MOVE_Bot 4] Set Destination: (1, 28) | Reason: Random Move | CurrPos: (48, 48)
2026-01-22 19:42:39,297 - [DEBUG] - [AI_MOVE_Bot 6] Set Destination: (65, 75) | Reason: Random Move | CurrPos: (48, 45)
2026-01-22 19:42:39,346 - [DEBUG] - [AI_MOVE_Bot 12] Set Destination: (11, 33) | Reason: Go Home | CurrPos: (45, 53)
2026-01-22 19:42:39,376 - [DEBUG] - [AI_MOVE_Bot 3] Set Destination: (59, 24) | Reason: Go Home | CurrPos: (49, 50)
2026-01-22 19:42:39,380 - [DEBUG] - [AI_MOVE_Bot 4] Set Destination: (40, 12) | Reason: Random Move | CurrPos: (48, 48)
2026-01-22 19:42:39,380 - [DEBUG] - [AI_MOVE_Bot 7] Set Destination: (38, 34) | Reason: Go Home | CurrPos: (45, 49)
2026-01-22 19:42:39,484 - [DEBUG] - [AI_MOVE_Bot 12] Set Destination: (95, 30) | Reason: Go Home | CurrPos: (45, 52)
2026-01-22 19:42:39,493 - [DEBUG] - [AI_MOVE_Bot 11] Set Destination: (98, 83) | Reason: Random Move | CurrPos: (51, 52)
2026-01-22 19:42:39,582 - [DEBUG] - [AI_MOVE_Bot 6] Set Destination: (42, 72) | Reason: Random Move | CurrPos: (48, 45)
2026-01-22 19:42:39,591 - [DEBUG] - [AI_MOVE_Bot 13] Set Destination: (72, 74) | Reason: Go Home | CurrPos: (56, 51)
2026-01-22 19:42:39,609 - [DEBUG] - [AI_MOVE_Bot 13] Set Destination: (17, 90) | Reason: Go Home | CurrPos: (56, 52)
2026-01-22 19:42:39,677 - [DEBUG] - [AI_MOVE_Bot 3] Set Destination: (91, 31) | Reason: Go Home | CurrPos: (47, 50)
2026-01-22 19:42:39,718 - [DEBUG] - [AI_MOVE_Bot 12] Set Destination: (20, 90) | Reason: Go Home | CurrPos: (44, 51)
2026-01-22 19:42:39,946 - [DEBUG] - [AI_MOVE_Bot 13] Set Destination: (23, 90) | Reason: Go Home | CurrPos: (58, 52)
2026-01-22 19:42:40,062 - [DEBUG] - [AI_MOVE_Bot 9] Set Destination: (87, 15) | Reason: Random Move | CurrPos: (53, 53)
2026-01-22 19:42:40,113 - [DEBUG] - [AI_MOVE_Bot 7] Set Destination: (38, 35) | Reason: Go Home | CurrPos: (45, 45)
2026-01-22 19:42:40,155 - [DEBUG] - [AI_MOVE_Bot 10] Set Destination: (56, 2) | Reason: Random Move | CurrPos: (47, 46)
2026-01-22 19:42:40,271 - [DEBUG] - [AI_MOVE_Bot 12] Set Destination: (20, 91) | Reason: Go Home | CurrPos: (45, 53)
2026-01-22 19:42:40,364 - [DEBUG] - [AI_MOVE_Bot 3] Set Destination: (91, 30) | Reason: Go Home | CurrPos: (48, 46)
2026-01-22 19:42:40,605 - [DEBUG] - [AI_MOVE_Bot 12] Set Destination: (20, 90) | Reason: Go Home | CurrPos: (47, 53)
2026-01-22 19:42:40,652 - [DEBUG] - [AI_MOVE_Bot 14] Set Destination: (41, 87) | Reason: Go Home | CurrPos: (50, 51)
2026-01-22 19:42:40,759 - [DEBUG] - [AI_MOVE_Bot 12] Set Destination: (79, 16) | Reason: Go Home | CurrPos: (48, 53)
2026-01-22 19:42:40,843 - [DEBUG] - [AI_MOVE_Bot 12] Set Destination: (68, 8) | Reason: Go Home | CurrPos: (48, 54)
2026-01-22 19:42:40,919 - [DEBUG] - [AI_MOVE_Bot 3] Set Destination: (92, 31) | Reason: Go Home | CurrPos: (48, 42)
2026-01-22 19:42:41,028 - [DEBUG] - [AI_MOVE_Bot 12] Set Destination: (68, 8) | Reason: Go Home | CurrPos: (48, 55)
2026-01-22 19:42:41,060 - [DEBUG] - [AI_MOVE_Bot 3] Set Destination: (91, 31) | Reason: Go Home | CurrPos: (48, 41)
2026-01-22 19:42:41,160 - [DEBUG] - [AI_MOVE_Bot 3] Set Destination: (87, 60) | Reason: Go Home | CurrPos: (48, 41)
2026-01-22 19:42:41,161 - [DEBUG] - [AI_MOVE_Bot 14] Set Destination: (42, 86) | Reason: Go Home | CurrPos: (48, 52)
2026-01-22 19:42:41,195 - [DEBUG] - [AI_MOVE_Bot 14] Set Destination: (41, 86) | Reason: Go Home | CurrPos: (48, 52)
2026-01-22 19:42:41,283 - [DEBUG] - [AI_MOVE_Bot 12] Set Destination: (16, 13) | Reason: Go Home | CurrPos: (48, 56)
2026-01-22 19:42:41,301 - [DEBUG] - [AI_MOVE_Bot 3] Set Destination: (59, 23) | Reason: Go Home | CurrPos: (48, 40)
2026-01-22 19:42:41,533 - [DEBUG] - [AI_MOVE_Bot 12] Set Destination: (63, 69) | Reason: Go Home | CurrPos: (48, 57)
2026-01-22 19:42:41,670 - [DEBUG] - [AI_MOVE_Bot 3] Set Destination: (60, 58) | Reason: Go Home | CurrPos: (48, 39)
2026-01-22 19:42:41,943 - [DEBUG] - [AI_MOVE_Bot 14] Set Destination: (93, 60) | Reason: Go Home | CurrPos: (48, 55)
2026-01-22 19:42:42,021 - [DEBUG] - [AI_MOVE_Bot 14] Set Destination: (94, 59) | Reason: Go Home | CurrPos: (48, 56)
2026-01-22 19:42:42,130 - [DEBUG] - [AI_MOVE_Bot 12] Set Destination: (63, 69) | Reason: Go Home | CurrPos: (48, 60)
2026-01-22 19:42:42,164 - [DEBUG] - [AI_MOVE_Bot 8] Set Destination: (68, 21) | Reason: Go Home | CurrPos: (50, 29)
2026-01-22 19:42:42,270 - [DEBUG] - [AI_MOVE_Bot 12] Set Destination: (63, 70) | Reason: Go Home | CurrPos: (48, 61)
2026-01-22 19:42:42,303 - [DEBUG] - [AI_MOVE_Bot 8] Set Destination: (67, 21) | Reason: Go Home | CurrPos: (50, 28)
2026-01-22 19:42:42,314 - [DEBUG] - [AI_MOVE_Bot 13] Set Destination: (23, 91) | Reason: Go Home | CurrPos: (49, 56)
2026-01-22 19:42:42,455 - [DEBUG] - [AI_MOVE_Bot 13] Set Destination: (23, 90) | Reason: Go Home | CurrPos: (48, 56)
2026-01-22 19:42:42,468 - [DEBUG] - [AI_MOVE_Bot 14] Set Destination: (29, 25) | Reason: Go Home | CurrPos: (48, 59)
2026-01-22 19:42:42,590 - [DEBUG] - [AI_MOVE_Bot 8] Set Destination: (4, 39) | Reason: Go Home | CurrPos: (50, 27)
2026-01-22 19:42:42,658 - [DEBUG] - [AI_MOVE_Bot 12] Set Destination: (38, 34) | Reason: Go Home | CurrPos: (48, 63)
2026-01-22 19:42:42,782 - [DEBUG] - [AI_MOVE_Bot 12] Set Destination: (38, 35) | Reason: Go Home | CurrPos: (48, 63)
2026-01-22 19:42:42,859 - [DEBUG] - [AI_MOVE_Bot 12] Set Destination: (75, 68) | Reason: Go Home | CurrPos: (48, 62)
2026-01-22 19:42:42,885 - [DEBUG] - [AI_MOVE_Bot 8] Set Destination: (44, 93) | Reason: Go Home | CurrPos: (52, 27)
2026-01-22 19:42:42,965 - [DEBUG] - [AI_MOVE_Bot 8] Set Destination: (43, 92) | Reason: Go Home | CurrPos: (51, 27)
2026-01-22 19:42:42,975 - [DEBUG] - [AI_MOVE_Bot 14] Set Destination: (28, 25) | Reason: Go Home | CurrPos: (46, 58)
2026-01-22 19:42:43,109 - [DEBUG] - [AI_MOVE_Bot 2] Set Destination: (26, 26) | Reason: Go Home | CurrPos: (34, 40)
2026-01-22 19:42:43,232 - [DEBUG] - [AI_MOVE_Bot 13] Set Destination: (14, 90) | Reason: Go Home | CurrPos: (48, 60)
2026-01-22 19:42:43,325 - [DEBUG] - [AI_MOVE_Bot 2] Set Destination: (25, 25) | Reason: Go Home | CurrPos: (34, 39)
2026-01-22 19:42:43,423 - [DEBUG] - [AI_MOVE_Bot 12] Set Destination: (3, 41) | Reason: Go Home | CurrPos: (48, 59)
2026-01-22 19:42:43,472 - [DEBUG] - [AI_MOVE_Bot 7] Set Destination: (39, 34) | Reason: Go Home | CurrPos: (46, 30)
2026-01-22 19:42:43,621 - [DEBUG] - [AI_MOVE_Bot 2] Set Destination: (4, 42) | Reason: Go Home | CurrPos: (33, 38)
2026-01-22 19:42:43,667 - [DEBUG] - [AI_MOVE_Bot 12] Set Destination: (3, 40) | Reason: Go Home | CurrPos: (46, 59)
2026-01-22 19:42:43,679 - [DEBUG] - [AI_MOVE_Bot 3] Set Destination: (60, 59) | Reason: Go Home | CurrPos: (48, 51)
2026-01-22 19:42:43,909 - [DEBUG] - [AI_MOVE_Bot 3] Set Destination: (60, 58) | Reason: Go Home | CurrPos: (49, 51)
2026-01-22 19:42:43,978 - [DEBUG] - [AI_MOVE_Bot 6] Set Destination: (34, 11) | Reason: Random Move | CurrPos: (42, 72)
