2026-01-22 19:45:23,201 - [INFO] - [DATA] Loaded 17 items.
2026-01-22 19:45:23,201 - [INFO] - [DATA] Loaded 110 tiles.
2026-01-22 19:45:23,201 - [INFO] - [DATA] Loaded 5 roles.
2026-01-22 19:45:23,566 - [INFO] - [DATA] Loaded 17 items.
2026-01-22 19:45:23,566 - [INFO] - [DATA] Loaded 110 tiles.
2026-01-22 19:45:23,566 - [INFO] - [DATA] Loaded 5 roles.
2026-01-22 19:45:24,108 - [INFO] - [SYSTEM] Game Engine Initializing...
2026-01-22 19:45:24,137 - [INFO] - [SYSTEM] Engine Loop Started
2026-01-22 19:45:36,629 - [INFO] - [PLAY] Entering PlayState...
2026-01-22 19:45:36,665 - [INFO] - [PLAYER] Initialized at (1632, 1728) Role: CITIZEN
2026-01-22 19:45:36,675 - [INFO] - [PLAYER] Role changed to POLICE (None)
2026-01-22 19:45:36,755 - [DEBUG] - [AI_MOVE_Bot 4] Set Destination: (96, 29) | Reason: Go Home | CurrPos: (53, 47)
2026-01-22 19:45:36,761 - [DEBUG] - [AI_MOVE_Bot 11] Set Destination: (87, 33) | Reason: Go Home | CurrPos: (51, 45)
2026-01-22 19:45:36,827 - [DEBUG] - [AI_MOVE_Bot 2] Set Destination: (47, 73) | Reason: Random Move | CurrPos: (51, 52)
2026-01-22 19:45:36,829 - [DEBUG] - [AI_MOVE_Bot 10] Set Destination: (28, 58) | Reason: Go Home | CurrPos: (52, 54)
2026-01-22 19:45:36,831 - [DEBUG] - [AI_MOVE_Bot 14] Set Destination: (58, 98) | Reason: Random Move | CurrPos: (52, 52)
2026-01-22 19:45:36,911 - [DEBUG] - [AI_MOVE_Bot 5] Set Destination: (75, 78) | Reason: Go Home | CurrPos: (50, 54)
2026-01-22 19:45:36,949 - [DEBUG] - [AI_MOVE_Bot 3] Set Destination: (41, 87) | Reason: Go Home | CurrPos: (51, 52)
2026-01-22 19:45:36,962 - [DEBUG] - [AI_MOVE_Bot 11] Set Destination: (88, 33) | Reason: Go Home | CurrPos: (51, 44)
2026-01-22 19:45:36,973 - [DEBUG] - [AI_MOVE_Bot 6] Set Destination: (9, 60) | Reason: Go Home | CurrPos: (47, 51)
2026-01-22 19:45:37,042 - [DEBUG] - [AI_MOVE_Bot 10] Set Destination: (27, 59) | Reason: Go Home | CurrPos: (51, 54)
2026-01-22 19:45:37,060 - [DEBUG] - [AI_MOVE_Bot 4] Set Destination: (95, 30) | Reason: Go Home | CurrPos: (54, 48)
