2026-01-22 19:52:47,406 - [INFO] - [SYSTEM] Game Engine Initializing...
2026-01-22 19:52:47,436 - [INFO] - [SYSTEM] Engine Loop Started
2026-01-22 19:53:19,384 - [INFO] - [PLAY] Entering PlayState...
2026-01-22 19:53:19,418 - [INFO] - [PLAYER] Initialized at (1600, 1728) Role: CITIZEN
2026-01-22 19:53:19,428 - [INFO] - [PLAYER] Role changed to CITIZEN (MINER)
2026-01-22 19:53:20,088 - [DEBUG] - [AI_MOVE_Bot 2] Set Destination: (6, 40) | Reason: Go Home | CurrPos: (46, 47)
2026-01-22 19:53:20,578 - [DEBUG] - [AI_MOVE_Bot 1] Set Destination: (58, 43) | Reason: Random Move | CurrPos: (53, 47)
2026-01-22 19:53:21,407 - [DEBUG] - [AI_MOVE_Bot 2] Set Destination: (6, 41) | Reason: Go Home | CurrPos: (42, 48)
2026-01-22 19:53:22,335 - [DEBUG] - [AI_MOVE_Bot 2] Set Destination: (6, 40) | Reason: Go Home | CurrPos: (40, 48)
2026-01-22 19:53:23,056 - [DEBUG] - [AI_MOVE_Bot 2] Set Destination: (7, 40) | Reason: Go Home | CurrPos: (38, 48)
2026-01-22 19:53:23,308 - [DEBUG] - [AI_MOVE_Bot 1] Set Destination: (21, 53) | Reason: Random Move | CurrPos: (58, 43)
2026-01-22 19:53:23,702 - [DEBUG] - [AI_MOVE_Bot 2] Set Destination: (6, 40) | Reason: Go Home | CurrPos: (36, 48)
2026-01-22 19:53:27,407 - [DEBUG] - [AI_MOVE_Bot 2] Set Destination: (6, 39) | Reason: Go Home | CurrPos: (24, 48)
2026-01-22 19:53:27,891 - [DEBUG] - [AI_MOVE_Bot 2] Set Destination: (6, 40) | Reason: Go Home | CurrPos: (23, 48)
2026-01-22 19:53:28,263 - [DEBUG] - [AI_MOVE_Bot 2] Set Destination: (40, 81) | Reason: Go Home | CurrPos: (22, 48)
2026-01-22 19:53:29,101 - [DEBUG] - [AI_MOVE_Bot 2] Set Destination: (41, 81) | Reason: Go Home | CurrPos: (22, 50)
2026-01-22 19:53:29,497 - [DEBUG] - [AI_MOVE_Bot 2] Set Destination: (40, 81) | Reason: Go Home | CurrPos: (22, 51)
2026-01-22 19:53:29,642 - [DEBUG] - [AI_MOVE_Bot 2] Set Destination: (96, 55) | Reason: Go Home | CurrPos: (22, 51)
2026-01-22 19:53:29,811 - [DEBUG] - [AI_MOVE_Bot 2] Set Destination: (96, 56) | Reason: Go Home | CurrPos: (23, 51)
2026-01-22 19:53:30,052 - [DEBUG] - [AI_MOVE_Bot 2] Set Destination: (24, 45) | Reason: Go Home | CurrPos: (23, 51)
2026-01-22 19:53:30,257 - [DEBUG] - [AI_MOVE_Bot 2] Set Destination: (46, 96) | Reason: Go Home | CurrPos: (24, 51)
2026-01-22 19:53:32,071 - [DEBUG] - [AI_MOVE_Bot 2] Set Destination: (46, 95) | Reason: Go Home | CurrPos: (28, 52)
2026-01-22 19:53:34,141 - [DEBUG] - [AI_MOVE_Bot 2] Set Destination: (46, 96) | Reason: Go Home | CurrPos: (30, 56)
2026-01-22 19:53:34,596 - [DEBUG] - [AI_MOVE_Bot 2] Set Destination: (47, 96) | Reason: Go Home | CurrPos: (30, 57)
2026-01-22 19:53:34,627 - [DEBUG] - [AI_MOVE_Bot 2] Set Destination: (64, 68) | Reason: Go Home | CurrPos: (30, 57)
2026-01-22 19:53:35,162 - [DEBUG] - [AI_MOVE_Bot 2] Set Destination: (61, 56) | Reason: Go Home | CurrPos: (30, 59)
2026-01-22 19:53:36,062 - [DEBUG] - [AI_MOVE_Bot 2] Set Destination: (62, 56) | Reason: Go Home | CurrPos: (31, 60)
2026-01-22 19:53:36,463 - [DEBUG] - [AI_MOVE_Bot 1] Set Destination: (1, 40) | Reason: Random Move | CurrPos: (21, 53)
2026-01-22 19:53:39,298 - [INFO] - [PLAYER] Morning Process Complete
2026-01-22 19:53:39,614 - [DEBUG] - [AI_MOVE_Bot 1] Set Destination: (37, 53) | Reason: Random Move | CurrPos: (21, 41)
2026-01-22 19:53:39,661 - [DEBUG] - [AI_MOVE_Bot 2] Set Destination: (70, 45) | Reason: Work Start | CurrPos: (36, 64)
