2026-01-22 23:06:30,820 - [INFO] - [DATA] Loaded 17 items.
2026-01-22 23:06:30,820 - [INFO] - [DATA] Loaded 110 tiles.
2026-01-22 23:06:30,820 - [INFO] - [DATA] Loaded 5 roles.
2026-01-22 23:06:31,093 - [INFO] - [SYSTEM] Game Engine Initializing...
2026-01-22 23:06:31,130 - [INFO] - [SYSTEM] Engine Loop Started
2026-01-22 23:06:38,968 - [INFO] - [PLAY] Entering PlayState...
2026-01-22 23:06:38,998 - [INFO] - [PLAYER] Initialized at (1536, 1696) Role: CITIZEN
2026-01-22 23:06:38,999 - [INFO] - [PLAYER] Role changed to CITIZEN (FARMER)
2026-01-22 23:06:39,007 - [DEBUG] - [AI_MOVE_Bot 4] Set Destination: (90, 59) | Reason: Go Home | CurrPos: (51, 46)
2026-01-22 23:06:39,017 - [DEBUG] - [AI_MOVE_Bot 13] Set Destination: (29, 24) | Reason: Go Home | CurrPos: (46, 51)
2026-01-22 23:06:39,061 - [DEBUG] - [AI_MOVE_Bot 2] Set Destination: (19, 81) | Reason: Random Move | CurrPos: (53, 53)
2026-01-22 23:06:39,071 - [DEBUG] - [AI_MOVE_Bot 4] Set Destination: (89, 59) | Reason: Go Home | CurrPos: (51, 46)
2026-01-22 23:06:39,121 - [DEBUG] - [AI_MOVE_Bot 6] Set Destination: (62, 12) | Reason: Random Move | CurrPos: (45, 48)
2026-01-22 23:06:39,233 - [DEBUG] - [AI_MOVE_Bot 8] Set Destination: (73, 66) | Reason: Go Home | CurrPos: (51, 51)
2026-01-22 23:06:39,256 - [DEBUG] - [AI_MOVE_Bot 11] Set Destination: (12, 7) | Reason: Random Move | CurrPos: (52, 52)
2026-01-22 23:06:39,294 - [DEBUG] - [AI_MOVE_Bot 4] Set Destination: (4, 39) | Reason: Go Home | CurrPos: (51, 47)
2026-01-22 23:06:39,308 - [DEBUG] - [AI_MOVE_Bot 10] Set Destination: (73, 77) | Reason: Random Move | CurrPos: (48, 46)
2026-01-22 23:06:39,361 - [DEBUG] - [AI_MOVE_Bot 9] Set Destination: (44, 61) | Reason: Go Home | CurrPos: (50, 53)
2026-01-22 23:06:39,430 - [DEBUG] - [AI_MOVE_Bot 14] Set Destination: (88, 61) | Reason: Go Home | CurrPos: (51, 54)
2026-01-22 23:06:39,512 - [DEBUG] - [AI_MOVE_Bot 12] Set Destination: (97, 98) | Reason: Random Move | CurrPos: (49, 45)
2026-01-22 23:06:39,535 - [DEBUG] - [AI_MOVE_Bot 3] Set Destination: (40, 81) | Reason: Random Move | CurrPos: (50, 53)
2026-01-22 23:06:39,640 - [DEBUG] - [AI_MOVE_Bot 8] Set Destination: (74, 67) | Reason: Go Home | CurrPos: (51, 53)
2026-01-22 23:06:39,657 - [DEBUG] - [AI_MOVE_Bot 7] Set Destination: (71, 75) | Reason: Go Home | CurrPos: (45, 49)
2026-01-22 23:06:39,663 - [DEBUG] - [AI_MOVE_Bot 9] Set Destination: (45, 61) | Reason: Go Home | CurrPos: (48, 53)
2026-01-22 23:06:39,871 - [DEBUG] - [AI_MOVE_Bot 9] Set Destination: (7, 95) | Reason: Go Home | CurrPos: (46, 53)
2026-01-22 23:06:39,983 - [DEBUG] - [AI_MOVE_Bot 13] Set Destination: (28, 24) | Reason: Go Home | CurrPos: (40, 51)
2026-01-22 23:06:40,057 - [DEBUG] - [AI_MOVE_Bot 4] Set Destination: (71, 68) | Reason: Go Home | CurrPos: (52, 51)
2026-01-22 23:06:40,061 - [DEBUG] - [AI_MOVE_Bot 13] Set Destination: (29, 24) | Reason: Go Home | CurrPos: (40, 51)
2026-01-22 23:06:40,112 - [DEBUG] - [AI_MOVE_Bot 9] Set Destination: (8, 96) | Reason: Go Home | CurrPos: (48, 53)
2026-01-22 23:06:40,178 - [DEBUG] - [AI_MOVE_Bot 4] Set Destination: (70, 68) | Reason: Go Home | CurrPos: (52, 51)
2026-01-22 23:06:40,193 - [DEBUG] - [AI_MOVE_Bot 8] Set Destination: (9, 46) | Reason: Go Home | CurrPos: (51, 57)
2026-01-22 23:06:40,390 - [DEBUG] - [AI_MOVE_Bot 8] Set Destination: (9, 45) | Reason: Go Home | CurrPos: (51, 57)
2026-01-22 23:06:40,405 - [DEBUG] - [AI_MOVE_Bot 7] Set Destination: (71, 76) | Reason: Go Home | CurrPos: (46, 53)
2026-01-22 23:06:40,479 - [DEBUG] - [AI_MOVE_Bot 4] Set Destination: (11, 90) | Reason: Go Home | CurrPos: (52, 53)
2026-01-22 23:06:40,494 - [DEBUG] - [AI_MOVE_Bot 8] Set Destination: (96, 45) | Reason: Go Home | CurrPos: (51, 58)
2026-01-22 23:06:40,495 - [DEBUG] - [AI_MOVE_Bot 13] Set Destination: (4, 42) | Reason: Go Home | CurrPos: (37, 51)
2026-01-22 23:06:40,587 - [DEBUG] - [AI_MOVE_Bot 7] Set Destination: (71, 75) | Reason: Go Home | CurrPos: (47, 53)
2026-01-22 23:06:40,687 - [DEBUG] - [AI_MOVE_Bot 4] Set Destination: (94, 60) | Reason: Go Home | CurrPos: (51, 54)
2026-01-22 23:06:40,692 - [DEBUG] - [AI_MOVE_Bot 13] Set Destination: (5, 42) | Reason: Go Home | CurrPos: (36, 51)
2026-01-22 23:06:40,708 - [DEBUG] - [AI_MOVE_Bot 7] Set Destination: (80, 16) | Reason: Go Home | CurrPos: (47, 53)
2026-01-22 23:06:40,723 - [DEBUG] - [AI_MOVE_Bot 7] Set Destination: (6, 43) | Reason: Go Home | CurrPos: (48, 53)
2026-01-22 23:06:40,837 - [DEBUG] - [AI_MOVE_Bot 5] Set Destination: (7, 90) | Reason: Go Home | CurrPos: (46, 51)
2026-01-22 23:06:40,851 - [DEBUG] - [AI_MOVE_Bot 9] Set Destination: (8, 39) | Reason: Go Home | CurrPos: (48, 57)
2026-01-22 23:06:40,899 - [DEBUG] - [AI_MOVE_Bot 5] Set Destination: (8, 89) | Reason: Go Home | CurrPos: (46, 51)
2026-01-22 23:06:40,915 - [DEBUG] - [AI_MOVE_Bot 8] Set Destination: (40, 96) | Reason: Go Home | CurrPos: (51, 61)
2026-01-22 23:06:41,080 - [DEBUG] - [AI_MOVE_Bot 5] Set Destination: (59, 69) | Reason: Go Home | CurrPos: (46, 52)
2026-01-22 23:06:41,096 - [DEBUG] - [AI_MOVE_Bot 13] Set Destination: (20, 95) | Reason: Go Home | CurrPos: (34, 51)
2026-01-22 23:06:41,141 - [DEBUG] - [AI_MOVE_Bot 7] Set Destination: (40, 87) | Reason: Go Home | CurrPos: (48, 55)
2026-01-22 23:06:41,184 - [DEBUG] - [AI_MOVE_Bot 4] Set Destination: (94, 61) | Reason: Go Home | CurrPos: (54, 54)
2026-01-22 23:06:41,323 - [DEBUG] - [AI_MOVE_Bot 7] Set Destination: (42, 87) | Reason: Go Home | CurrPos: (48, 56)
2026-01-22 23:06:41,343 - [DEBUG] - [AI_MOVE_Bot 9] Set Destination: (8, 40) | Reason: Go Home | CurrPos: (45, 57)
2026-01-22 23:06:41,476 - [DEBUG] - [AI_MOVE_Bot 9] Set Destination: (81, 39) | Reason: Go Home | CurrPos: (44, 57)
2026-01-22 23:06:41,512 - [DEBUG] - [AI_MOVE_Bot 4] Set Destination: (9, 45) | Reason: Go Home | CurrPos: (54, 52)
2026-01-22 23:06:41,618 - [DEBUG] - [AI_MOVE_Bot 14] Set Destination: (89, 61) | Reason: Go Home | CurrPos: (61, 51)
2026-01-22 23:06:41,648 - [DEBUG] - [AI_MOVE_Bot 13] Set Destination: (19, 95) | Reason: Go Home | CurrPos: (31, 51)
2026-01-22 23:06:41,704 - [DEBUG] - [AI_MOVE_Bot 13] Set Destination: (20, 95) | Reason: Go Home | CurrPos: (30, 51)
2026-01-22 23:06:41,704 - [DEBUG] - [AI_MOVE_Bot 14] Set Destination: (88, 60) | Reason: Go Home | CurrPos: (61, 51)
2026-01-22 23:06:41,767 - [DEBUG] - [AI_MOVE_Bot 5] Set Destination: (70, 74) | Reason: Go Home | CurrPos: (48, 54)
2026-01-22 23:06:41,771 - [DEBUG] - [AI_MOVE_Bot 13] Set Destination: (43, 35) | Reason: Go Home | CurrPos: (30, 51)
2026-01-22 23:06:41,933 - [DEBUG] - [AI_MOVE_Bot 8] Set Destination: (41, 96) | Reason: Go Home | CurrPos: (48, 64)
2026-01-22 23:06:41,936 - [DEBUG] - [AI_MOVE_Bot 13] Set Destination: (45, 61) | Reason: Go Home | CurrPos: (29, 51)
2026-01-22 23:06:41,951 - [DEBUG] - [AI_MOVE_Bot 7] Set Destination: (4, 43) | Reason: Go Home | CurrPos: (48, 60)
2026-01-22 23:06:42,021 - [DEBUG] - [AI_MOVE_Bot 4] Set Destination: (9, 46) | Reason: Go Home | CurrPos: (51, 52)
2026-01-22 23:06:42,073 - [DEBUG] - [AI_MOVE_Bot 13] Set Destination: (17, 90) | Reason: Go Home | CurrPos: (28, 51)
2026-01-22 23:06:42,188 - [DEBUG] - [AI_MOVE_Bot 5] Set Destination: (71, 74) | Reason: Go Home | CurrPos: (48, 57)
2026-01-22 23:06:42,207 - [DEBUG] - [AI_MOVE_Bot 8] Set Destination: (40, 96) | Reason: Go Home | CurrPos: (48, 65)
2026-01-22 23:06:42,281 - [DEBUG] - [AI_MOVE_Bot 8] Set Destination: (79, 16) | Reason: Go Home | CurrPos: (48, 66)
2026-01-22 23:06:42,281 - [DEBUG] - [AI_MOVE_Bot 13] Set Destination: (6, 53) | Reason: Go Home | CurrPos: (27, 51)
2026-01-22 23:06:42,387 - [DEBUG] - [AI_MOVE_Bot 8] Set Destination: (8, 95) | Reason: Go Home | CurrPos: (48, 66)
2026-01-22 23:06:42,487 - [DEBUG] - [AI_MOVE_Bot 4] Set Destination: (10, 45) | Reason: Go Home | CurrPos: (48, 52)
2026-01-22 23:06:42,488 - [DEBUG] - [AI_MOVE_Bot 5] Set Destination: (39, 33) | Reason: Go Home | CurrPos: (48, 59)
2026-01-22 23:06:42,491 - [DEBUG] - [AI_MOVE_Bot 13] Set Destination: (5, 53) | Reason: Go Home | CurrPos: (25, 51)
2026-01-22 23:06:42,491 - [DEBUG] - [AI_MOVE_Bot 14] Set Destination: (27, 55) | Reason: Go Home | CurrPos: (66, 51)
2026-01-22 23:06:42,594 - [DEBUG] - [AI_MOVE_Bot 8] Set Destination: (46, 96) | Reason: Go Home | CurrPos: (48, 68)
2026-01-22 23:06:42,599 - [DEBUG] - [AI_MOVE_Bot 13] Set Destination: (59, 23) | Reason: Go Home | CurrPos: (25, 51)
2026-01-22 23:06:42,712 - [DEBUG] - [AI_MOVE_Bot 4] Set Destination: (73, 67) | Reason: Go Home | CurrPos: (46, 52)
2026-01-22 23:06:42,717 - [DEBUG] - [AI_MOVE_Bot 13] Set Destination: (6, 41) | Reason: Go Home | CurrPos: (24, 51)
2026-01-22 23:06:42,732 - [DEBUG] - [AI_MOVE_Bot 13] Set Destination: (75, 77) | Reason: Go Home | CurrPos: (24, 51)
2026-01-22 23:06:42,820 - [DEBUG] - [AI_MOVE_Bot 13] Set Destination: (11, 14) | Reason: Go Home | CurrPos: (23, 51)
2026-01-22 23:06:42,893 - [DEBUG] - [AI_MOVE_Bot 5] Set Destination: (38, 33) | Reason: Go Home | CurrPos: (48, 56)
2026-01-22 23:06:43,080 - [DEBUG] - [AI_MOVE_Bot 9] Set Destination: (80, 39) | Reason: Go Home | CurrPos: (48, 50)
2026-01-22 23:06:43,297 - [DEBUG] - [AI_MOVE_Bot 5] Set Destination: (17, 90) | Reason: Go Home | CurrPos: (48, 54)
2026-01-22 23:06:43,343 - [DEBUG] - [AI_MOVE_Bot 14] Set Destination: (27, 56) | Reason: Go Home | CurrPos: (61, 51)
2026-01-22 23:06:43,413 - [DEBUG] - [AI_MOVE_Bot 9] Set Destination: (81, 39) | Reason: Go Home | CurrPos: (48, 48)
2026-01-22 23:06:43,509 - [DEBUG] - [AI_MOVE_Bot 13] Set Destination: (10, 13) | Reason: Go Home | CurrPos: (23, 45)
2026-01-22 23:06:43,632 - [DEBUG] - [AI_MOVE_Bot 13] Set Destination: (11, 14) | Reason: Go Home | CurrPos: (23, 44)
2026-01-22 23:06:43,636 - [DEBUG] - [AI_MOVE_Bot 14] Set Destination: (27, 55) | Reason: Go Home | CurrPos: (59, 51)
2026-01-22 23:06:43,742 - [DEBUG] - [AI_MOVE_Bot 9] Set Destination: (73, 80) | Reason: Go Home | CurrPos: (50, 48)
2026-01-22 23:06:43,856 - [DEBUG] - [AI_MOVE_Bot 13] Set Destination: (74, 73) | Reason: Go Home | CurrPos: (23, 43)
2026-01-22 23:06:43,898 - [DEBUG] - [AI_MOVE_Bot 8] Set Destination: (47, 96) | Reason: Go Home | CurrPos: (47, 75)
2026-01-22 23:06:43,903 - [DEBUG] - [AI_MOVE_Bot 13] Set Destination: (28, 83) | Reason: Go Home | CurrPos: (23, 43)
2026-01-22 23:06:44,016 - [DEBUG] - [AI_MOVE_Bot 5] Set Destination: (17, 89) | Reason: Go Home | CurrPos: (48, 57)
2026-01-22 23:06:44,043 - [DEBUG] - [AI_MOVE_Bot 9] Set Destination: (72, 80) | Reason: Go Home | CurrPos: (50, 49)
2026-01-22 23:06:44,126 - [DEBUG] - [AI_MOVE_Bot 13] Set Destination: (87, 57) | Reason: Go Home | CurrPos: (23, 41)
2026-01-22 23:06:44,189 - [DEBUG] - [AI_MOVE_Bot 5] Set Destination: (18, 90) | Reason: Go Home | CurrPos: (48, 59)
2026-01-22 23:06:44,275 - [DEBUG] - [AI_MOVE_Bot 5] Set Destination: (72, 73) | Reason: Go Home | CurrPos: (48, 59)
2026-01-22 23:06:44,275 - [DEBUG] - [AI_MOVE_Bot 8] Set Destination: (46, 97) | Reason: Go Home | CurrPos: (47, 77)
2026-01-22 23:06:44,289 - [DEBUG] - [AI_MOVE_Bot 8] Set Destination: (91, 42) | Reason: Go Home | CurrPos: (47, 77)
2026-01-22 23:06:44,294 - [DEBUG] - [AI_MOVE_Bot 14] Set Destination: (71, 69) | Reason: Go Home | CurrPos: (55, 51)
2026-01-22 23:06:44,341 - [DEBUG] - [AI_MOVE_Bot 9] Set Destination: (95, 45) | Reason: Go Home | CurrPos: (50, 51)
2026-01-22 23:06:44,396 - [DEBUG] - [AI_MOVE_Bot 8] Set Destination: (80, 17) | Reason: Go Home | CurrPos: (47, 78)
2026-01-22 23:06:44,402 - [DEBUG] - [AI_MOVE_Bot 13] Set Destination: (88, 57) | Reason: Go Home | CurrPos: (23, 43)
2026-01-22 23:06:44,402 - [DEBUG] - [AI_MOVE_Bot 14] Set Destination: (71, 68) | Reason: Go Home | CurrPos: (55, 51)
