2026-01-22 23:12:14,472 - [INFO] - [DATA] Loaded 17 items.
2026-01-22 23:12:14,472 - [INFO] - [DATA] Loaded 110 tiles.
2026-01-22 23:12:14,475 - [INFO] - [DATA] Loaded 5 roles.
2026-01-22 23:12:14,771 - [INFO] - [SYSTEM] Game Engine Initializing...
2026-01-22 23:12:14,771 - [INFO] - [SYSTEM] Game Engine Initializing...
2026-01-22 23:12:14,798 - [INFO] - [SYSTEM] Engine Loop Started
2026-01-22 23:12:14,798 - [INFO] - [SYSTEM] Engine Loop Started
2026-01-22 23:12:14,829 - [INFO] - [DATA] Loaded 17 items.
2026-01-22 23:12:14,829 - [INFO] - [DATA] Loaded 110 tiles.
2026-01-22 23:12:14,839 - [INFO] - [DATA] Loaded 5 roles.
2026-01-22 23:12:24,435 - [INFO] - [PLAY] Entering PlayState...
2026-01-22 23:12:24,435 - [INFO] - [PLAY] Entering PlayState...
2026-01-22 23:12:24,454 - [INFO] - [PLAYER] Initialized at (1568, 1664) Role: CITIZEN
2026-01-22 23:12:24,454 - [INFO] - [PLAYER] Initialized at (1568, 1664) Role: CITIZEN
2026-01-22 23:12:24,455 - [INFO] - [PLAYER] Role changed to CITIZEN (MINER)
2026-01-22 23:12:24,455 - [INFO] - [PLAYER] Role changed to CITIZEN (MINER)
2026-01-22 23:12:24,468 - [DEBUG] - [AI_MOVE_Bot 3] Set Destination: (0, 29) | Reason: Random Move | CurrPos: (51, 51)
2026-01-22 23:12:24,468 - [DEBUG] - [AI_MOVE_Bot 3] Set Destination: (0, 29) | Reason: Random Move | CurrPos: (51, 51)
2026-01-22 23:12:24,481 - [DEBUG] - [AI_MOVE_Bot 14] Set Destination: (89, 60) | Reason: Go Home | CurrPos: (51, 52)
2026-01-22 23:12:24,481 - [DEBUG] - [AI_MOVE_Bot 14] Set Destination: (89, 60) | Reason: Go Home | CurrPos: (51, 52)
2026-01-22 23:12:24,637 - [DEBUG] - [AI_MOVE_Bot 7] Set Destination: (74, 21) | Reason: Random Move | CurrPos: (46, 50)
2026-01-22 23:12:24,637 - [DEBUG] - [AI_MOVE_Bot 7] Set Destination: (74, 21) | Reason: Random Move | CurrPos: (46, 50)
2026-01-22 23:12:24,656 - [DEBUG] - [AI_MOVE_Bot 5] Set Destination: (27, 63) | Reason: Go Home | CurrPos: (49, 47)
2026-01-22 23:12:24,656 - [DEBUG] - [AI_MOVE_Bot 5] Set Destination: (27, 63) | Reason: Go Home | CurrPos: (49, 47)
2026-01-22 23:12:24,689 - [DEBUG] - [AI_MOVE_Bot 12] Set Destination: (94, 30) | Reason: Go Home | CurrPos: (54, 50)
2026-01-22 23:12:24,689 - [DEBUG] - [AI_MOVE_Bot 12] Set Destination: (94, 30) | Reason: Go Home | CurrPos: (54, 50)
2026-01-22 23:12:24,754 - [DEBUG] - [AI_MOVE_Bot 3] Set Destination: (88, 48) | Reason: Random Move | CurrPos: (51, 51)
2026-01-22 23:12:24,754 - [DEBUG] - [AI_MOVE_Bot 3] Set Destination: (88, 48) | Reason: Random Move | CurrPos: (51, 51)
2026-01-22 23:12:24,757 - [DEBUG] - [AI_MOVE_Bot 4] Set Destination: (88, 33) | Reason: Go Home | CurrPos: (50, 48)
2026-01-22 23:12:24,757 - [DEBUG] - [AI_MOVE_Bot 4] Set Destination: (88, 33) | Reason: Go Home | CurrPos: (50, 48)
2026-01-22 23:12:24,768 - [DEBUG] - [AI_MOVE_Bot 5] Set Destination: (27, 64) | Reason: Go Home | CurrPos: (48, 47)
2026-01-22 23:12:24,768 - [DEBUG] - [AI_MOVE_Bot 5] Set Destination: (27, 64) | Reason: Go Home | CurrPos: (48, 47)
2026-01-22 23:12:24,768 - [DEBUG] - [AI_MOVE_Bot 6] Set Destination: (68, 11) | Reason: Random Move | CurrPos: (48, 52)
2026-01-22 23:12:24,768 - [DEBUG] - [AI_MOVE_Bot 6] Set Destination: (68, 11) | Reason: Random Move | CurrPos: (48, 52)
2026-01-22 23:12:24,815 - [DEBUG] - [AI_MOVE_Bot 2] Set Destination: (62, 44) | Reason: Random Move | CurrPos: (45, 54)
2026-01-22 23:12:24,815 - [DEBUG] - [AI_MOVE_Bot 2] Set Destination: (62, 44) | Reason: Random Move | CurrPos: (45, 54)
2026-01-22 23:12:24,838 - [DEBUG] - [AI_MOVE_Bot 5] Set Destination: (89, 57) | Reason: Go Home | CurrPos: (48, 47)
2026-01-22 23:12:24,838 - [DEBUG] - [AI_MOVE_Bot 5] Set Destination: (89, 57) | Reason: Go Home | CurrPos: (48, 47)
2026-01-22 23:12:24,936 - [DEBUG] - [AI_MOVE_Bot 4] Set Destination: (87, 33) | Reason: Go Home | CurrPos: (50, 47)
2026-01-22 23:12:24,936 - [DEBUG] - [AI_MOVE_Bot 4] Set Destination: (87, 33) | Reason: Go Home | CurrPos: (50, 47)
2026-01-22 23:12:24,936 - [DEBUG] - [AI_MOVE_Bot 11] Set Destination: (14, 90) | Reason: Go Home | CurrPos: (47, 50)
2026-01-22 23:12:24,936 - [DEBUG] - [AI_MOVE_Bot 11] Set Destination: (14, 90) | Reason: Go Home | CurrPos: (47, 50)
2026-01-22 23:12:24,983 - [DEBUG] - [AI_MOVE_Bot 8] Set Destination: (9, 60) | Reason: Go Home | CurrPos: (49, 49)
2026-01-22 23:12:24,983 - [DEBUG] - [AI_MOVE_Bot 8] Set Destination: (9, 60) | Reason: Go Home | CurrPos: (49, 49)
2026-01-22 23:12:25,088 - [DEBUG] - [AI_MOVE_Bot 4] Set Destination: (62, 56) | Reason: Go Home | CurrPos: (50, 46)
2026-01-22 23:12:25,088 - [DEBUG] - [AI_MOVE_Bot 4] Set Destination: (62, 56) | Reason: Go Home | CurrPos: (50, 46)
2026-01-22 23:12:25,116 - [DEBUG] - [AI_MOVE_Bot 13] Set Destination: (25, 39) | Reason: Random Move | CurrPos: (53, 47)
