2026-01-22 23:15:37,738 - [INFO] - [DATA] Loaded 17 items.
2026-01-22 23:15:37,738 - [INFO] - [DATA] Loaded 110 tiles.
2026-01-22 23:15:37,738 - [INFO] - [DATA] Loaded 5 roles.
2026-01-22 23:15:38,025 - [INFO] - [SYSTEM] Game Engine Initializing...
2026-01-22 23:15:38,025 - [INFO] - [SYSTEM] Game Engine Initializing...
2026-01-22 23:15:38,052 - [INFO] - [SYSTEM] Engine Loop Started
2026-01-22 23:15:38,052 - [INFO] - [SYSTEM] Engine Loop Started
2026-01-22 23:15:52,727 - [INFO] - [PLAY] Entering PlayState...
2026-01-22 23:15:52,727 - [INFO] - [PLAY] Entering PlayState...
2026-01-22 23:15:52,758 - [INFO] - [PLAYER] Initialized at (1696, 1568) Role: CITIZEN
2026-01-22 23:15:52,758 - [INFO] - [PLAYER] Initialized at (1696, 1568) Role: CITIZEN
2026-01-22 23:15:52,759 - [INFO] - [PLAYER] Role changed to CITIZEN (FARMER)
2026-01-22 23:15:52,759 - [INFO] - [PLAYER] Role changed to CITIZEN (FARMER)
2026-01-22 23:15:52,939 - [DEBUG] - [AI_MOVE_Bot 5] Set Destination: (25, 45) | Reason: Go Home | CurrPos: (48, 45)
2026-01-22 23:15:52,939 - [DEBUG] - [AI_MOVE_Bot 5] Set Destination: (25, 45) | Reason: Go Home | CurrPos: (48, 45)
2026-01-22 23:15:52,999 - [DEBUG] - [AI_MOVE_Bot 6] Set Destination: (26, 69) | Reason: Random Move | CurrPos: (50, 53)
2026-01-22 23:15:52,999 - [DEBUG] - [AI_MOVE_Bot 6] Set Destination: (26, 69) | Reason: Random Move | CurrPos: (50, 53)
2026-01-22 23:15:53,070 - [DEBUG] - [AI_MOVE_Bot 2] Set Destination: (44, 63) | Reason: Go Home | CurrPos: (50, 47)
2026-01-22 23:15:53,070 - [DEBUG] - [AI_MOVE_Bot 2] Set Destination: (44, 63) | Reason: Go Home | CurrPos: (50, 47)
2026-01-22 23:15:53,073 - [DEBUG] - [AI_MOVE_Bot 5] Set Destination: (25, 46) | Reason: Go Home | CurrPos: (47, 45)
2026-01-22 23:15:53,073 - [DEBUG] - [AI_MOVE_Bot 5] Set Destination: (25, 46) | Reason: Go Home | CurrPos: (47, 45)
2026-01-22 23:15:53,091 - [DEBUG] - [AI_MOVE_Bot 5] Set Destination: (29, 24) | Reason: Go Home | CurrPos: (47, 45)
2026-01-22 23:15:53,091 - [DEBUG] - [AI_MOVE_Bot 5] Set Destination: (29, 24) | Reason: Go Home | CurrPos: (47, 45)
2026-01-22 23:15:53,107 - [DEBUG] - [AI_MOVE_Bot 1] Set Destination: (3, 69) | Reason: Go Home | CurrPos: (51, 53)
