2026-01-22 23:18:48,393 - [INFO] - [DATA] Loaded 17 items.
2026-01-22 23:18:48,393 - [INFO] - [DATA] Loaded 110 tiles.
2026-01-22 23:18:48,393 - [INFO] - [DATA] Loaded 5 roles.
2026-01-22 23:18:48,602 - [INFO] - [SYSTEM] Game Engine Initializing...
2026-01-22 23:18:48,602 - [INFO] - [SYSTEM] Game Engine Initializing...
2026-01-22 23:18:48,628 - [INFO] - [SYSTEM] Engine Loop Started
2026-01-22 23:18:48,628 - [INFO] - [SYSTEM] Engine Loop Started
2026-01-22 23:18:48,756 - [INFO] - [DATA] Loaded 17 items.
2026-01-22 23:18:48,756 - [INFO] - [DATA] Loaded 110 tiles.
2026-01-22 23:18:48,766 - [INFO] - [DATA] Loaded 5 roles.
2026-01-22 23:18:57,138 - [INFO] - [PLAY] Entering PlayState...
2026-01-22 23:18:57,138 - [INFO] - [PLAY] Entering PlayState...
2026-01-22 23:18:57,159 - [INFO] - [PLAYER] Initialized at (1536, 1472) Role: CITIZEN
2026-01-22 23:18:57,159 - [INFO] - [PLAYER] Initialized at (1536, 1472) Role: CITIZEN
2026-01-22 23:18:57,159 - [INFO] - [PLAYER] Role changed to CITIZEN (FISHER)
2026-01-22 23:18:57,159 - [INFO] - [PLAYER] Role changed to CITIZEN (FISHER)
2026-01-22 23:18:57,441 - [DEBUG] - [AI_MOVE_Bot 5] Set Destination: (67, 23) | Reason: Random Move | CurrPos: (47, 50)
2026-01-22 23:18:57,441 - [DEBUG] - [AI_MOVE_Bot 5] Set Destination: (67, 23) | Reason: Random Move | CurrPos: (47, 50)
2026-01-22 23:18:57,491 - [DEBUG] - [AI_MOVE_Bot 8] Set Destination: (70, 42) | Reason: Random Move | CurrPos: (50, 45)
2026-01-22 23:18:57,491 - [DEBUG] - [AI_MOVE_Bot 8] Set Destination: (70, 42) | Reason: Random Move | CurrPos: (50, 45)
2026-01-22 23:18:57,507 - [DEBUG] - [AI_MOVE_Bot 3] Set Destination: (34, 78) | Reason: Go Home | CurrPos: (48, 49)
2026-01-22 23:18:57,507 - [DEBUG] - [AI_MOVE_Bot 3] Set Destination: (34, 78) | Reason: Go Home | CurrPos: (48, 49)
2026-01-22 23:18:57,608 - [DEBUG] - [AI_MOVE_Bot 2] Set Destination: (68, 96) | Reason: Random Move | CurrPos: (51, 52)
2026-01-22 23:18:57,608 - [DEBUG] - [AI_MOVE_Bot 2] Set Destination: (68, 96) | Reason: Random Move | CurrPos: (51, 52)
2026-01-22 23:18:57,610 - [DEBUG] - [AI_MOVE_Bot 6] Set Destination: (56, 22) | Reason: Go Home | CurrPos: (51, 53)
2026-01-22 23:18:57,610 - [DEBUG] - [AI_MOVE_Bot 6] Set Destination: (56, 22) | Reason: Go Home | CurrPos: (51, 53)
2026-01-22 23:18:57,627 - [DEBUG] - [AI_MOVE_Bot 3] Set Destination: (34, 77) | Reason: Go Home | CurrPos: (48, 49)
2026-01-22 23:18:57,627 - [DEBUG] - [AI_MOVE_Bot 3] Set Destination: (34, 77) | Reason: Go Home | CurrPos: (48, 49)
2026-01-22 23:18:57,627 - [DEBUG] - [AI_MOVE_Bot 4] Set Destination: (43, 34) | Reason: Go Home | CurrPos: (53, 49)
2026-01-22 23:18:57,627 - [DEBUG] - [AI_MOVE_Bot 4] Set Destination: (43, 34) | Reason: Go Home | CurrPos: (53, 49)
2026-01-22 23:18:57,744 - [DEBUG] - [AI_MOVE_Bot 1] Set Destination: (4, 62) | Reason: Random Move | CurrPos: (53, 47)
2026-01-22 23:18:57,744 - [DEBUG] - [AI_MOVE_Bot 1] Set Destination: (4, 62) | Reason: Random Move | CurrPos: (53, 47)
2026-01-22 23:18:57,902 - [DEBUG] - [AI_MOVE_Bot 3] Set Destination: (10, 69) | Reason: Go Home | CurrPos: (48, 51)
2026-01-22 23:18:57,902 - [DEBUG] - [AI_MOVE_Bot 3] Set Destination: (10, 69) | Reason: Go Home | CurrPos: (48, 51)
2026-01-22 23:18:58,077 - [DEBUG] - [AI_MOVE_Bot 3] Set Destination: (71, 77) | Reason: Go Home | CurrPos: (48, 52)
2026-01-22 23:18:58,077 - [DEBUG] - [AI_MOVE_Bot 3] Set Destination: (71, 77) | Reason: Go Home | CurrPos: (48, 52)
2026-01-22 23:18:58,452 - [DEBUG] - [AI_MOVE_Bot 4] Set Destination: (43, 34) | Reason: Go Home | CurrPos: (53, 49)
2026-01-22 23:18:58,452 - [DEBUG] - [AI_MOVE_Bot 4] Set Destination: (43, 34) | Reason: Go Home | CurrPos: (53, 49)
2026-01-22 23:18:58,602 - [DEBUG] - [AI_MOVE_Bot 3] Set Destination: (72, 77) | Reason: Go Home | CurrPos: (48, 55)
2026-01-22 23:18:58,602 - [DEBUG] - [AI_MOVE_Bot 3] Set Destination: (72, 77) | Reason: Go Home | CurrPos: (48, 55)
2026-01-22 23:18:58,721 - [DEBUG] - [AI_MOVE_Bot 3] Set Destination: (71, 77) | Reason: Go Home | CurrPos: (48, 56)
2026-01-22 23:18:58,721 - [DEBUG] - [AI_MOVE_Bot 3] Set Destination: (71, 77) | Reason: Go Home | CurrPos: (48, 56)
2026-01-22 23:18:58,721 - [DEBUG] - [AI_MOVE_Bot 4] Set Destination: (43, 34) | Reason: Go Home | CurrPos: (53, 49)
2026-01-22 23:18:58,721 - [DEBUG] - [AI_MOVE_Bot 4] Set Destination: (43, 34) | Reason: Go Home | CurrPos: (53, 49)
2026-01-22 23:18:59,068 - [DEBUG] - [AI_MOVE_Bot 3] Set Destination: (33, 35) | Reason: Go Home | CurrPos: (48, 58)
2026-01-22 23:18:59,068 - [DEBUG] - [AI_MOVE_Bot 3] Set Destination: (33, 35) | Reason: Go Home | CurrPos: (48, 58)
2026-01-22 23:18:59,335 - [DEBUG] - [AI_MOVE_Bot 6] Set Destination: (55, 22) | Reason: Go Home | CurrPos: (51, 43)
2026-01-22 23:18:59,335 - [DEBUG] - [AI_MOVE_Bot 6] Set Destination: (55, 22) | Reason: Go Home | CurrPos: (51, 43)
2026-01-22 23:18:59,488 - [DEBUG] - [AI_MOVE_Bot 3] Set Destination: (5, 14) | Reason: Go Home | CurrPos: (48, 60)
2026-01-22 23:18:59,488 - [DEBUG] - [AI_MOVE_Bot 3] Set Destination: (5, 14) | Reason: Go Home | CurrPos: (48, 60)
2026-01-22 23:18:59,546 - [DEBUG] - [AI_MOVE_Bot 4] Set Destination: (43, 35) | Reason: Go Home | CurrPos: (53, 49)
2026-01-22 23:18:59,546 - [DEBUG] - [AI_MOVE_Bot 4] Set Destination: (43, 35) | Reason: Go Home | CurrPos: (53, 49)
2026-01-22 23:18:59,696 - [DEBUG] - [AI_MOVE_Bot 6] Set Destination: (56, 22) | Reason: Go Home | CurrPos: (51, 41)
2026-01-22 23:18:59,696 - [DEBUG] - [AI_MOVE_Bot 6] Set Destination: (56, 22) | Reason: Go Home | CurrPos: (51, 41)
2026-01-22 23:18:59,714 - [DEBUG] - [AI_MOVE_Bot 3] Set Destination: (4, 14) | Reason: Go Home | CurrPos: (46, 60)
2026-01-22 23:18:59,714 - [DEBUG] - [AI_MOVE_Bot 3] Set Destination: (4, 14) | Reason: Go Home | CurrPos: (46, 60)
2026-01-22 23:18:59,719 - [DEBUG] - [AI_MOVE_Bot 4] Set Destination: (43, 34) | Reason: Go Home | CurrPos: (52, 49)
2026-01-22 23:18:59,719 - [DEBUG] - [AI_MOVE_Bot 4] Set Destination: (43, 34) | Reason: Go Home | CurrPos: (52, 49)
2026-01-22 23:18:59,818 - [DEBUG] - [AI_MOVE_Bot 6] Set Destination: (14, 90) | Reason: Go Home | CurrPos: (51, 40)
2026-01-22 23:18:59,818 - [DEBUG] - [AI_MOVE_Bot 6] Set Destination: (14, 90) | Reason: Go Home | CurrPos: (51, 40)
2026-01-22 23:18:59,951 - [DEBUG] - [AI_MOVE_Bot 6] Set Destination: (95, 54) | Reason: Go Home | CurrPos: (51, 39)
2026-01-22 23:18:59,951 - [DEBUG] - [AI_MOVE_Bot 6] Set Destination: (95, 54) | Reason: Go Home | CurrPos: (51, 39)
2026-01-22 23:19:00,087 - [DEBUG] - [AI_MOVE_Bot 6] Set Destination: (96, 55) | Reason: Go Home | CurrPos: (51, 40)
2026-01-22 23:19:00,087 - [DEBUG] - [AI_MOVE_Bot 6] Set Destination: (96, 55) | Reason: Go Home | CurrPos: (51, 40)
2026-01-22 23:19:00,223 - [DEBUG] - [AI_MOVE_Bot 3] Set Destination: (14, 90) | Reason: Go Home | CurrPos: (46, 57)
2026-01-22 23:19:00,223 - [DEBUG] - [AI_MOVE_Bot 3] Set Destination: (14, 90) | Reason: Go Home | CurrPos: (46, 57)
2026-01-22 23:19:00,252 - [DEBUG] - [AI_MOVE_Bot 4] Set Destination: (89, 56) | Reason: Go Home | CurrPos: (48, 49)
2026-01-22 23:19:00,252 - [DEBUG] - [AI_MOVE_Bot 4] Set Destination: (89, 56) | Reason: Go Home | CurrPos: (48, 49)
2026-01-22 23:19:00,449 - [DEBUG] - [AI_MOVE_Bot 6] Set Destination: (87, 55) | Reason: Go Home | CurrPos: (51, 42)
2026-01-22 23:19:00,449 - [DEBUG] - [AI_MOVE_Bot 6] Set Destination: (87, 55) | Reason: Go Home | CurrPos: (51, 42)
2026-01-22 23:19:00,611 - [DEBUG] - [AI_MOVE_Bot 6] Set Destination: (33, 35) | Reason: Go Home | CurrPos: (51, 43)
2026-01-22 23:19:00,611 - [DEBUG] - [AI_MOVE_Bot 6] Set Destination: (33, 35) | Reason: Go Home | CurrPos: (51, 43)
2026-01-22 23:19:00,957 - [DEBUG] - [AI_MOVE_Bot 4] Set Destination: (90, 56) | Reason: Go Home | CurrPos: (51, 51)
2026-01-22 23:19:00,957 - [DEBUG] - [AI_MOVE_Bot 4] Set Destination: (90, 56) | Reason: Go Home | CurrPos: (51, 51)
2026-01-22 23:19:01,480 - [DEBUG] - [AI_MOVE_Bot 6] Set Destination: (33, 36) | Reason: Go Home | CurrPos: (51, 48)
2026-01-22 23:19:01,480 - [DEBUG] - [AI_MOVE_Bot 6] Set Destination: (33, 36) | Reason: Go Home | CurrPos: (51, 48)
2026-01-22 23:19:01,632 - [DEBUG] - [AI_MOVE_Bot 4] Set Destination: (89, 56) | Reason: Go Home | CurrPos: (55, 51)
2026-01-22 23:19:01,632 - [DEBUG] - [AI_MOVE_Bot 4] Set Destination: (89, 56) | Reason: Go Home | CurrPos: (55, 51)
2026-01-22 23:19:02,083 - [DEBUG] - [AI_MOVE_Bot 4] Set Destination: (90, 56) | Reason: Go Home | CurrPos: (58, 51)
2026-01-22 23:19:02,083 - [DEBUG] - [AI_MOVE_Bot 4] Set Destination: (90, 56) | Reason: Go Home | CurrPos: (58, 51)
2026-01-22 23:19:02,409 - [DEBUG] - [AI_MOVE_Bot 6] Set Destination: (33, 35) | Reason: Go Home | CurrPos: (45, 49)
2026-01-22 23:19:02,409 - [DEBUG] - [AI_MOVE_Bot 6] Set Destination: (33, 35) | Reason: Go Home | CurrPos: (45, 49)
2026-01-22 23:19:02,442 - [DEBUG] - [AI_MOVE_Bot 4] Set Destination: (6, 40) | Reason: Go Home | CurrPos: (60, 51)
2026-01-22 23:19:02,442 - [DEBUG] - [AI_MOVE_Bot 4] Set Destination: (6, 40) | Reason: Go Home | CurrPos: (60, 51)
2026-01-22 23:19:02,744 - [DEBUG] - [AI_MOVE_Bot 4] Set Destination: (5, 40) | Reason: Go Home | CurrPos: (59, 51)
2026-01-22 23:19:02,744 - [DEBUG] - [AI_MOVE_Bot 4] Set Destination: (5, 40) | Reason: Go Home | CurrPos: (59, 51)
2026-01-22 23:19:02,896 - [DEBUG] - [AI_MOVE_Bot 4] Set Destination: (60, 59) | Reason: Go Home | CurrPos: (58, 51)
2026-01-22 23:19:02,896 - [DEBUG] - [AI_MOVE_Bot 4] Set Destination: (60, 59) | Reason: Go Home | CurrPos: (58, 51)
2026-01-22 23:19:03,295 - [DEBUG] - [AI_MOVE_Bot 6] Set Destination: (33, 35) | Reason: Go Home | CurrPos: (40, 49)
2026-01-22 23:19:03,295 - [DEBUG] - [AI_MOVE_Bot 6] Set Destination: (33, 35) | Reason: Go Home | CurrPos: (40, 49)
2026-01-22 23:19:03,343 - [DEBUG] - [AI_MOVE_Bot 4] Set Destination: (94, 57) | Reason: Go Home | CurrPos: (55, 51)
2026-01-22 23:19:03,343 - [DEBUG] - [AI_MOVE_Bot 4] Set Destination: (94, 57) | Reason: Go Home | CurrPos: (55, 51)
2026-01-22 23:19:03,477 - [DEBUG] - [AI_MOVE_Bot 6] Set Destination: (32, 35) | Reason: Go Home | CurrPos: (38, 49)
2026-01-22 23:19:03,477 - [DEBUG] - [AI_MOVE_Bot 6] Set Destination: (32, 35) | Reason: Go Home | CurrPos: (38, 49)
2026-01-22 23:19:03,628 - [DEBUG] - [AI_MOVE_Bot 6] Set Destination: (90, 55) | Reason: Go Home | CurrPos: (37, 49)
2026-01-22 23:19:03,628 - [DEBUG] - [AI_MOVE_Bot 6] Set Destination: (90, 55) | Reason: Go Home | CurrPos: (37, 49)
2026-01-22 23:19:03,778 - [DEBUG] - [AI_MOVE_Bot 6] Set Destination: (34, 22) | Reason: Go Home | CurrPos: (36, 49)
2026-01-22 23:19:03,778 - [DEBUG] - [AI_MOVE_Bot 6] Set Destination: (34, 22) | Reason: Go Home | CurrPos: (36, 49)
