2026-01-22 23:25:44,201 - [INFO] - [DATA] Loaded 17 items.
2026-01-22 23:25:44,201 - [INFO] - [DATA] Loaded 110 tiles.
2026-01-22 23:25:44,201 - [INFO] - [DATA] Loaded 5 roles.
2026-01-22 23:25:44,483 - [INFO] - [SYSTEM] Game Engine Initializing...
2026-01-22 23:25:44,483 - [INFO] - [SYSTEM] Game Engine Initializing...
2026-01-22 23:25:44,562 - [INFO] - [SYSTEM] Engine Loop Started
2026-01-22 23:25:44,562 - [INFO] - [SYSTEM] Engine Loop Started
2026-01-22 23:25:44,577 - [INFO] - [DATA] Loaded 17 items.
2026-01-22 23:25:44,578 - [INFO] - [DATA] Loaded 110 tiles.
2026-01-22 23:25:44,579 - [INFO] - [DATA] Loaded 5 roles.
2026-01-22 23:25:52,608 - [INFO] - [PLAY] Entering PlayState...
2026-01-22 23:25:52,608 - [INFO] - [PLAY] Entering PlayState...
2026-01-22 23:25:52,633 - [INFO] - [PLAYER] Initialized at (1536, 1696) Role: CITIZEN
2026-01-22 23:25:52,633 - [INFO] - [PLAYER] Initialized at (1536, 1696) Role: CITIZEN
2026-01-22 23:25:52,633 - [INFO] - [PLAYER] Role changed to CITIZEN (MINER)
2026-01-22 23:25:52,633 - [INFO] - [PLAYER] Role changed to CITIZEN (MINER)
2026-01-22 23:25:52,740 - [DEBUG] - [AI_MOVE_Bot 9] Set Destination: (96, 60) | Reason: Go Home | CurrPos: (50, 54)
2026-01-22 23:25:52,740 - [DEBUG] - [AI_MOVE_Bot 9] Set Destination: (96, 60) | Reason: Go Home | CurrPos: (50, 54)
2026-01-22 23:25:52,775 - [DEBUG] - [AI_MOVE_Bot 5] Set Destination: (25, 45) | Reason: Go Home | CurrPos: (50, 47)
2026-01-22 23:25:52,775 - [DEBUG] - [AI_MOVE_Bot 5] Set Destination: (25, 45) | Reason: Go Home | CurrPos: (50, 47)
2026-01-22 23:25:52,809 - [DEBUG] - [AI_MOVE_Bot 2] Set Destination: (88, 61) | Reason: Go Home | CurrPos: (51, 45)
2026-01-22 23:25:52,809 - [DEBUG] - [AI_MOVE_Bot 2] Set Destination: (88, 61) | Reason: Go Home | CurrPos: (51, 45)
2026-01-22 23:25:52,830 - [DEBUG] - [AI_MOVE_Bot 3] Set Destination: (92, 39) | Reason: Random Move | CurrPos: (47, 45)
2026-01-22 23:25:52,830 - [DEBUG] - [AI_MOVE_Bot 3] Set Destination: (92, 39) | Reason: Random Move | CurrPos: (47, 45)
2026-01-22 23:25:52,835 - [DEBUG] - [AI_MOVE_Bot 5] Set Destination: (24, 45) | Reason: Go Home | CurrPos: (49, 47)
2026-01-22 23:25:52,835 - [DEBUG] - [AI_MOVE_Bot 5] Set Destination: (24, 45) | Reason: Go Home | CurrPos: (49, 47)
2026-01-22 23:25:52,835 - [DEBUG] - [AI_MOVE_Bot 8] Set Destination: (54, 96) | Reason: Go Home | CurrPos: (51, 54)
2026-01-22 23:25:52,835 - [DEBUG] - [AI_MOVE_Bot 8] Set Destination: (54, 96) | Reason: Go Home | CurrPos: (51, 54)
2026-01-22 23:25:52,899 - [DEBUG] - [AI_MOVE_Bot 2] Set Destination: (89, 60) | Reason: Go Home | CurrPos: (51, 45)
2026-01-22 23:25:52,899 - [DEBUG] - [AI_MOVE_Bot 2] Set Destination: (89, 60) | Reason: Go Home | CurrPos: (51, 45)
2026-01-22 23:25:53,092 - [DEBUG] - [AI_MOVE_Bot 2] Set Destination: (90, 54) | Reason: Go Home | CurrPos: (51, 46)
2026-01-22 23:25:53,092 - [DEBUG] - [AI_MOVE_Bot 2] Set Destination: (90, 54) | Reason: Go Home | CurrPos: (51, 46)
2026-01-22 23:25:53,092 - [DEBUG] - [AI_MOVE_Bot 6] Set Destination: (92, 7) | Reason: Random Move | CurrPos: (48, 54)
2026-01-22 23:25:53,092 - [DEBUG] - [AI_MOVE_Bot 6] Set Destination: (92, 7) | Reason: Random Move | CurrPos: (48, 54)
2026-01-22 23:25:53,100 - [DEBUG] - [AI_MOVE_Bot 9] Set Destination: (97, 61) | Reason: Go Home | CurrPos: (52, 54)
2026-01-22 23:25:53,100 - [DEBUG] - [AI_MOVE_Bot 9] Set Destination: (97, 61) | Reason: Go Home | CurrPos: (52, 54)
2026-01-22 23:25:53,115 - [DEBUG] - [AI_MOVE_Bot 4] Set Destination: (26, 39) | Reason: Random Move | CurrPos: (50, 54)
2026-01-22 23:25:53,115 - [DEBUG] - [AI_MOVE_Bot 4] Set Destination: (26, 39) | Reason: Random Move | CurrPos: (50, 54)
2026-01-22 23:25:53,136 - [DEBUG] - [AI_MOVE_Bot 5] Set Destination: (26, 32) | Reason: Go Home | CurrPos: (48, 47)
2026-01-22 23:25:53,136 - [DEBUG] - [AI_MOVE_Bot 5] Set Destination: (26, 32) | Reason: Go Home | CurrPos: (48, 47)
2026-01-22 23:25:53,348 - [DEBUG] - [AI_MOVE_Bot 2] Set Destination: (28, 17) | Reason: Go Home | CurrPos: (51, 48)
2026-01-22 23:25:53,348 - [DEBUG] - [AI_MOVE_Bot 2] Set Destination: (28, 17) | Reason: Go Home | CurrPos: (51, 48)
2026-01-22 23:25:53,385 - [DEBUG] - [AI_MOVE_Bot 1] Set Destination: (98, 3) | Reason: Random Move | CurrPos: (48, 54)
2026-01-22 23:25:53,385 - [DEBUG] - [AI_MOVE_Bot 1] Set Destination: (98, 3) | Reason: Random Move | CurrPos: (48, 54)
2026-01-22 23:25:53,451 - [DEBUG] - [AI_MOVE_Bot 5] Set Destination: (54, 96) | Reason: Go Home | CurrPos: (46, 47)
2026-01-22 23:25:53,451 - [DEBUG] - [AI_MOVE_Bot 5] Set Destination: (54, 96) | Reason: Go Home | CurrPos: (46, 47)
2026-01-22 23:25:53,790 - [DEBUG] - [AI_MOVE_Bot 9] Set Destination: (5, 45) | Reason: Go Home | CurrPos: (54, 52)
2026-01-22 23:25:53,790 - [DEBUG] - [AI_MOVE_Bot 9] Set Destination: (5, 45) | Reason: Go Home | CurrPos: (54, 52)
